episodeId,seed,scenarioId,mode,startTime,endTime,duration,terminationReason,success,timeToCapture,totalReward,epsilonUsed,action0_count,action1_count,action2_count,action3_count,action4_count,action5_count,action6_count,action7_count,action0_time,action1_time,action2_time,action3_time,action4_time,action5_time,action6_time,action7_time,uniqueStatesVisited,firstContactTime,tdErrorMean,useLearning,useHeat
223,-529993827,default,TRAIN,70248.44,70387.63,139.1875,CAPTURE,0,-1,0,0.09859283,1,0,0,4,5,0,0,0,45.13281,0,0,23.78125,57.91406,0,0,0,0,-1,1.361895,1,1
224,-529993827,default,TRAIN,70388.71,70893.73,505.0234,QUEST_COMPLETE,0,-1,0,0.09809987,6,0,0,8,13,4,6,0,175.3359,0,0,88.58594,83.95313,48.59375,50.5,0,0,-1,0.4040895,1,1
225,-529993827,default,TRAIN,70894.78,70953.82,59.03906,CAPTURE,0,-1,0,0.09760937,1,0,0,2,0,0,0,0,45.04688,0,0,7.953125,0,0,0,0,0,-1,2.345367,1,1
226,-529993827,default,TRAIN,70954.83,71496.76,541.9297,QUEST_COMPLETE,0,-1,0,0.09712133,6,0,0,10,0,7,21,0,200.3516,0,0,167.2656,0,23.94531,123.7422,0,0,-1,0.6496978,1,1
227,-529993827,default,TRAIN,71497.77,71520.88,23.11719,CAPTURE,0,-1,0,0.09663572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1
228,-529993827,default,TRAIN,71522.13,71891.61,369.4844,CAPTURE,0,-1,0,0.09615254,6,1,0,5,5,0,3,0,250.8984,2.492188,0,44.6875,28.60156,0,30.21875,0,0,-1,0.9855517,1,1
229,-529993827,default,TRAIN,71892.71,71974.01,81.29688,CAPTURE,0,-1,0,0.09567178,2,0,0,0,0,0,0,0,45.03906,0,0,0,0,0,0,0,0,-1,0.6326101,1,1
230,-529993827,default,TRAIN,71975.01,72618.95,643.9453,QUEST_COMPLETE,0,-1,0,0.09519342,5,1,0,21,39,1,8,0,225.9219,4.976563,0,130.7656,171.5859,14.25781,92.53906,0,0,-1,0.3722867,1,1
231,-529993827,default,TRAIN,72620.09,72671.43,51.33594,CAPTURE,0,-1,0,0.09471746,1,0,0,0,4,0,0,0,0,0,0,0,1.359375,0,0,0,0,-1,0.2693745,1,1
232,-529993827,default,TRAIN,72672.52,72690.14,17.625,CAPTURE,0,-1,0,0.09424387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5.251671,1,1
233,-529993827,default,TRAIN,72691.28,73307.7,616.4141,QUEST_COMPLETE,0,-1,0,0.09377265,5,0,0,6,11,9,11,0,190.2969,0,0,78.75781,89.67969,121.7188,104.2578,0,0,-1,0.5735669,1,1
234,-529993827,default,TRAIN,73308.77,73433.71,124.9453,CAPTURE,0,-1,0,0.09330378,1,0,0,5,0,1,0,0,45.15625,0,0,76.35938,0,0,0,0,0,-1,1.62354,1,1
235,-529993827,default,TRAIN,73434.8,73951.02,516.2266,CAPTURE,0,-1,0,0.09283727,3,1,0,20,15,0,1,0,81.46094,4.421875,0,247.8906,150.7188,0,15.21094,0,0,-1,0.7699256,1,1
236,-529993827,default,TRAIN,73952.04,74633.28,681.2422,QUEST_COMPLETE,0,-1,0,0.09237308,11,0,0,13,2,2,5,0,398.2578,0,0,173.4766,5.25,27.14063,55.86719,0,0,-1,0.4729893,1,1
237,-529993827,default,TRAIN,74634.34,74839.58,205.2344,CAPTURE,0,-1,0,0.09191122,4,0,0,6,0,0,0,0,102.4844,0,0,63.03906,0,0,0,0,0,-1,0.1428033,1,1
238,-529993827,default,TRAIN,74840.73,75274.86,434.1328,QUEST_COMPLETE,0,-1,0,0.09145166,6,0,0,16,0,6,2,0,215.9063,0,0,114.9766,0,66.375,21.35938,0,0,-1,0.5567605,1,1
239,-529993827,default,TRAIN,75275.98,75478.94,202.9531,QUEST_COMPLETE,0,-1,0,0.0909944,1,0,0,7,5,0,14,0,29.20313,0,0,96.54688,1.523438,0,62.55469,0,0,-1,0.5670593,1,1
240,-529993827,default,TRAIN,75480.16,75805.66,325.5,CAPTURE,0,-1,0,0.09053943,0,0,0,11,3,11,11,0,0,0,0,99.64063,6.421875,131.3438,67.61719,0,0,-1,0.7659768,1,1
241,-529993827,default,TRAIN,75806.85,76194.32,387.4688,QUEST_COMPLETE,0,-1,0,0.09008674,6,0,0,8,9,0,0,0,224.2969,0,0,124.6406,20.28125,0,0,0,0,-1,0.5410208,1,1
242,-529993827,default,TRAIN,76195.38,76275.07,79.6875,CAPTURE,0,-1,0,0.0896363,0,0,0,0,0,4,0,0,0,0,0,0,0,42.17969,0,0,0,-1,2.145772,1,1
