Time,DecisionType,Winner,WinnerScore,CandidateCount,Top5Candidates
7558,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7595,4,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
7618,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7656,4,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
7679,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7688,1,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7690,1,Patrol,R7,0,605,10,R7(0,60)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7726,7,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
7879,3,Patrol,R5,0,594,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
7883,5,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
7887,9,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
7956,4,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
7958,2,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
